program,sender_niche,receiver_niche,flow
ifng_response,0,0,0.0005275956355035305
ifng_response,0,1,0.0005542393773794174
ifng_response,0,2,0.0005851745372638106
ifng_response,0,3,0.0005984827294014394
ifng_response,0,4,0.0005307596293278039
ifng_response,0,5,0.0006041925516910851
ifng_response,0,6,0.0004708013730123639
ifng_response,0,7,0.0005877799121662974
ifng_response,1,0,0.0005587314954027534
ifng_response,1,1,0.0005870033637620509
ifng_response,1,2,0.0006198575720191002
ifng_response,1,3,0.0006340109393931925
ifng_response,1,4,0.0005620837328024209
ifng_response,1,5,0.0006400790880434215
ifng_response,1,6,0.0004985243431292474
ifng_response,1,7,0.0006226311670616269
ifng_response,2,0,0.0006028495263308287
ifng_response,2,1,0.0006334481295198202
ifng_response,2,2,0.0006690601585432887
ifng_response,2,3,0.0006844374584034085
ifng_response,2,4,0.0006064667250029743
ifng_response,2,5,0.0006910214433446527
ifng_response,2,6,0.0005377807538025081
ifng_response,2,7,0.0006720778183080256
ifng_response,3,0,0.0006282642716541886
ifng_response,3,1,0.0006602155044674873
ifng_response,3,2,0.0006974386051297188
ifng_response,3,3,0.0007135363412089646
ifng_response,3,4,0.0006320333923213184
ifng_response,3,5,0.0007204230059869587
ifng_response,3,6,0.0005603805766440928
ifng_response,3,7,0.0007006007363088429
ifng_response,4,0,0.0005293390131555498
ifng_response,4,1,0.0005560711724683642
ifng_response,4,2,0.0005871073808521032
ifng_response,4,3,0.0006004581227898598
ifng_response,4,4,0.000532514532096684
ifng_response,4,5,0.0006061864551156759
ifng_response,4,6,0.000472357525723055
ifng_response,4,7,0.0005897210794501007
ifng_response,5,0,0.0006365097360685468
ifng_response,5,1,0.0006688990397378802
ifng_response,5,2,0.000706642575096339
ifng_response,5,3,0.0007229723269119859
ifng_response,5,4,0.0006403283914551139
ifng_response,5,5,0.0007299573044292629
ifng_response,5,6,0.000567716546356678
ifng_response,5,7,0.0007098515052348375
ifng_response,6,0,0.0004702295991592109
ifng_response,6,1,0.0004939174395985901
ifng_response,6,2,0.0005213881377130747
ifng_response,6,3,0.0005331835127435625
ifng_response,6,4,0.0004730483633466065
ifng_response,6,5,0.0005382531089708209
ifng_response,6,6,0.00041973139741458
ifng_response,6,7,0.0005236919387243688
ifng_response,7,0,0.0006057575810700655
ifng_response,7,1,0.0006365157896652818
ifng_response,7,2,0.0006723197875544429
ifng_response,7,3,0.0006877848063595593
ifng_response,7,4,0.0006093922420404851
ifng_response,7,5,0.000694405403919518
ifng_response,7,6,0.0005403585964813828
ifng_response,7,7,0.0006753557827323675
tgfb_remodeling,0,0,0.004587939009070396
tgfb_remodeling,0,1,0.004620234481990337
tgfb_remodeling,0,2,0.004533656872808933
tgfb_remodeling,0,3,0.004412743262946606
tgfb_remodeling,0,4,0.004639341030269861
tgfb_remodeling,0,5,0.004360632970929146
tgfb_remodeling,0,6,0.004318381659686565
tgfb_remodeling,0,7,0.004504561889916658
tgfb_remodeling,1,0,0.004563077352941036
tgfb_remodeling,1,1,0.004596733022481203
tgfb_remodeling,1,2,0.004513516090810299
tgfb_remodeling,1,3,0.004394876770675182
tgfb_remodeling,1,4,0.004614138510078192
tgfb_remodeling,1,5,0.004343501757830381
tgfb_remodeling,1,6,0.004291737452149391
tgfb_remodeling,1,7,0.0044848062098026276
tgfb_remodeling,2,0,0.004424662329256535
tgfb_remodeling,2,1,0.004459161311388016
tgfb_remodeling,2,2,0.004381751641631126
tgfb_remodeling,2,3,0.004268606659024954
tgfb_remodeling,2,4,0.004474214743822813
tgfb_remodeling,2,5,0.004219360183924437
tgfb_remodeling,2,6,0.004158133640885353
tgfb_remodeling,2,7,0.004354245029389858
tgfb_remodeling,3,0,0.004274765495210886
tgfb_remodeling,3,1,0.004308948293328285
tgfb_remodeling,3,2,0.004235630854964256
tgfb_remodeling,3,3,0.004127226769924164
